# ----------------------------------------
# Relatório do painel
# ----------------------------------------
# Usuários ativos


# Principais eventos de conversão


# Engajamento diário do usuário
# Data de início: 20200606
# Data de término: 20200703
Caminho da página e classe da tela,Envolvimento do usuário,Tempo médio de engajamento
FIRootViewController,0.7452840137657657,51.71542099861675
game_board,0.14050325373695216,18.952293386996043
game_over,0.04490355051449286,3.8335108368651047
extra_steps,0.02381499580542577,8.742870632672332
main_menu,0.01622695122294699,3.9547705616850553
GADFullScreenAdViewController,0.010358598478481378,13.393780660181259
MPMRAIDInterstitialViewController,0.00521289827395489,2.6704219784563694
out_of_steps,0.002574039733157431,3.960914308331684
GADOInterstitialViewController,0.0016083809689408594,9.003599712023037
stats,0.0015480634673869442,7.71108263933376
GADNFullScreenAdViewController,0.0012520704400386803,7.119195612431445
shop_menu,0.0010534985372684352,0.7937884587431562
(not set),0.001017938219188142,4.3489010989010985
level_select,0.0009745970720161388,1.5307544692455308
settings,0.0008240605356219859,11.703196347031964
FIGameViewController,0.000772488428749662,111.23148148148148
MPAdBrowserController,0.0006497956857167513,30.074404761904763
how_to_play,0.0004388773433960245,18.00791556728232
MPiOS7SafeStoreProductViewController,0.00019567820600060112,8.66951566951567
AdActivity,0.0001700207613097566,1.6840764331210192
GADInterstitialViewController,0.0001652622377330085,13.526315789473685
MainMenuActivity,0.00008835420803313373,0.7491821155943293
FloodItActivity,0.00007446446353884196,1.2163865546218486
GameFinishedActivity,0.00007163507114185661,1.2161572052401746
SettingsActivity,0.00005060754128244268,1.2492063492063492
LevelSelectionActivity,0.00004572040896037706,3.0384615384615383
SKStoreProductViewController,0.000035110187471681965,109.2
GADBrowserViewController,0.000025850357808820785,80.4
AVFullScreenViewController,0.00002179918233131902,42.375
ExtraStepsActivity,0.00001408265761226804,1.3518518518518519
UIAlertController,0.000006559046011193334,6
WKActionSheet,0.000006108915402582027,19
SFSafariViewController,0.000005851697911946994,2.935483870967742
ProxyBillingActivity,0.000002507870533691569,2.2941176470588234
MRExpandModalViewController,9.002612172226145e-7,4.666666666666667
DDParsecNoDataViewController,5.144349812700654e-7,8
AboutActivity,2.572174906350327e-7,0.5
FIGameOverViewController,2.572174906350327e-7,1
UIViewController,1.2860874531751635e-7,1
TagManagerPreviewActivity,1.2860874531751635e-7,0.3333333333333333
FIStatisticsViewController,6.430437265875817e-8,1
FIMainMenuViewController,6.430437265875817e-8,0.25
GADOBrowserViewController,0,0
FIOptionsViewController,0,0
GADNBrowserViewController,0,0
FILevelsCollectionViewController,0,0

# Receita total


# Usuários sem falhas
# Data de início: 20200703
# Data de término: 20200703
Aplicativo,Usuários sem falhas
1051193347,0.991701244813278
1051193346,0.9928825622775801

# Adoção da versão do aplicativo
# Data de início: 20200606
# Data de término: 20200703
Aplicativo,Versão,Status
1051193346,2.64,Precisa de investigação
1051193347,2.6.51,Eficiente

# Aquisição
# Data de início: 20200306
# Data de término: 20200703
Origem,first_open conversões,LTV
(direct),15643,0.019128888068402645
google-play,1947,0.016482174627632254
google,1472,0.014661021059782607
invite_a_friend,24,0.045813541666666666
firebase,10,0.018814900000000002

# Coortes de retenção
# Data de início: 20200517
# Data de término: 20200627
Data,Semana 0,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5
17 de mai. - 23 de mai.,675,139,90,71,53,43
24 de mai. - 30 de mai.,710,136,80,51,42,-1
31 de mai. - 6 de jun.,823,154,75,62,-1,-1
7 de jun. - 13 de jun.,978,186,97,-1,-1,-1
14 de jun. - 20 de jun.,857,168,-1,-1,-1,-1
21 de jun. - 27 de jun.,905,-1,-1,-1,-1,-1

# Público-alvo
# Data de início: 20200606
# Data de término: 20200703
ID do país,Sessões,% total
US,27790,1
ID,3350,0
JP,2788,0
CA,1249,0
GB,1129,0
IN,1085,0
AU,749,0
DE,691,0
BR,511,0
MX,347,0
NL,290,0
FR,195,0
EG,180,0
IL,150,0
JO,124,0
CL,117,0
HK,107,0
AT,99,0
RU,97,0
BD,95,0
CN,86,0
SA,86,0
GR,84,0
VN,81,0
CH,69,0
TW,68,0
NG,64,0
AR,61,0
PH,61,0
KR,59,0
TH,57,0
SE,51,0
TZ,46,0
PE,45,0
HU,44,0
PK,42,0
ZA,42,0
VI,41,0
PR,40,0
MY,35,0
GU,32,0
DK,31,0
AO,30,0
CO,30,0
SG,30,0
KH,28,0
LT,27,0
SI,26,0
NP,22,0
NZ,22,0
KE,21,0
CI,20,0
TR,20,0
AZ,18,0
MA,17,0
GH,16,0
NO,16,0
DZ,15,0
CR,14,0
LB,14,0
YE,14,0
AE,13,0
BE,12,0
EC,12,0
IQ,12,0
JM,11,0
DO,10,0
GT,10,0
MZ,9,0
BJ,8,0
KZ,8,0
SN,8,0
UG,8,0
VE,8,0
PY,7,0
IR,6,0
IT,6,0
LK,6,0
TG,6,0
BW,5,0
NI,5,0
PS,5,0
PT,5,0
RS,5,0
ZW,5,0
BF,4,0
IE,4,0
OM,4,0
SK,4,0
(not set),3,0
ES,3,0
GA,3,0
GG,3,0
KW,3,0
NA,3,0
PL,3,0
QA,3,0
ML,2,0
MN,2,0
NE,2,0
RO,2,0
SV,2,0
UZ,2,0
ZM,2,0
AM,1,0
AW,1,0
BG,1,0
BH,1,0
BO,1,0
CD,1,0
GW,1,0
HN,1,0
HT,1,0
KG,1,0
LY,1,0
MP,1,0
TM,1,0

# Data de início: 20200606
# Data de término: 20200703
Modelo do dispositivo,Usuários
iPhone,653
iPhone 8,417
iPhone XR,373
iPhone 7,329
iPhone 8 Plus,270
iPhone X,239
iPhone 6s,208
iPhone XS,181
iPhone 7 Plus,177
iPhone 6,132
iPhone XS Max,129
iPad Air 2,116
iPad 6th gen,112
iPad,100
iPhone SE,92
1904,91
(not set),90
iPad 5th gen,82
iPad Pro 12.9 2nd gen,76
1820,73
iPhone 6s Plus,69
A37f,59
iPad Air,56
iPad Mini,49
iPad Mini 4,48
iPad Pro 9.7 inch,48
Redmi 5A,47
SM-G610F,47
Redmi 6A,45
Redmi Note 4,45
iPad Mini 2,45
SM-G950U,43
1902,41
SM-G960U,41
SM-G965U,40
iPhone 6 Plus,40
SM-G975U,38
1724,37
iPad Pro 10.5,37
Redmi Note 7,34
SM-G973U,34
1814,31
Redmi 4A,31
SM-N960U,31
SM-A105G,30
SM-A207F,30
SM-G532G,30
CPH1909,29
SM-A107F,29
1901,28
SM-J250F,27
Redmi 4X,26
Redmi 8,26
SM-G970U,26
iPad 2,26
Redmi Note 8,25
iPad 3rd gen,25
iPad 4th gen,25
CPH1803,24
Mi A1,24
Redmi Note 5,23
SM-N950U,23
iPhone 5s,23
A5000,22
CPH1923,22
SM-G930V,22
SM-G950F,22
Pixel 2 XL,21
Redmi 5 Plus,21
SM-G960F,21
Y53 1606,21
iPad Pro 12.9 inch,21
A1601,19
A57,19
CPH1823,19
Pixel 3,19
SM-A205F,19
SM-A505F,19
SM-G955U,19
Redmi 5,18
Redmi 7,18
SM-J415F,18
X00TD,18
1907,17
1915,17
RMX1941,17
Redmi Note 5A,17
iPod touch 6th gen,17
1817,16
1819,16
Redmi Note 8 Pro,16
SM-J700F,16
Moto G7 Power,15
Pixel 3 XL,15
Redmi Note 6 Pro,15
SM-G935F,15
SM-G973F,15
SM-J610F,15
SM-N950F,15
SM-T510,15
1727,14
1802,14
SM-A307GN,14
1806,13
Moto G7 Play,13
Pixel 2,13
Pixel 4 XL,13
Redmi 6,13
SM-A105F,13
SM-A105M,13
SM-A507FN,13
SM-A750GN,13
SM-G930F,13
SM-J710F,13
1807,12
1811,12
1816,12
1906,12
A33w,12
Redmi 7A,12
SM-J730G,12
SM-N960F,12
SM-N975U,12
X00RD,12
1723,11
1920,11
CPH1609,11
J701F,11
SM-A515F,11
SM-G955F,11
SM-J260M,11
SM-J400F,11
SM-J600G,11
iPad Mini 3,11
iPhone 5,11
1612,10
CPH1729,10
Mi A2 Lite,10
Moto G (5) Plus,10
Pixel 3a,10
Redmi Note 3,10
SM-A260G,10
SM-J410G,10
iPod Touch,10
1610,9
CPH1801,9
CPH1931,9
Moto E (4) Plus,9
Moto g(7),9
RMX1821,9
Redmi 4,9
Redmi Note 7 Pro,9
SM-A305F,9
SM-G570F,9
SM-G570M,9
SM-G610M,9
SM-G965F,9
SM-M205G,9
iPod touch 5th gen,9
moto E5 play,9
1714,8
1718,8
A6000,8
CPH1605,8
CPH1933,8
Mi A3,8
Pixel,8
Redmi 3S,8
Redmi Note 7S,8
Redmi S2,8
SM-A102U,8
SM-A205U,8
SM-G975F,8
SM-G986U,8
SM-J111F,8
X650C,8
XT1925,8
1601,7
1716,7
1908,7
1918,7
A1603 Neo 7,7
CPH1853,7
CPH1937,7
DUB-LX1,7
LM-Q720,7
Moto G5,7
Moto G6 Play,7
Pixel 3a XL,7
SM-A715F,7
SM-G920V,7
SM-G960W,7
SM-J810Y,7
SM-T560NU,7
X01AD,7
iPhone 4s,7
iPhone 5c,7
1812,6
6039S,6
BBC100-1,6
CPH1901,6
LM-V350,6
POCO F1,6
RMX1851,6
RMX1911,6
RMX1971,6
Redmi Go,6
Redmi Note 4X,6
Redmi Note 5 Pro,6
SM-A107M,6
SM-A205G,6
SM-G970F,6
SM-G981U,6
SM-J415G,6
SM-M105G,6
SM-T377P,6
SM-T580,6
1609,5
1719,5
1804,5
2014811,5
A37fw,5
A5010,5
A6003,5
A6013,5
A7010a48,5
Andromax B26D2H,5
CPH1969,5
GT-I9060I,5
JKM-LX3,5
LLD-L21,5
LM-G820V,5
MI MAX 2,5
Mi A2,5
Moto G Play,5
Moto G8 Play,5
Moto e5 plus,5
Nexus 5X,5
Pixel XL,5
Redmi 3,5
Redmi 8A,5
Redmi Y2,5
SM-A520W,5
SM-A530F,5
SM-A600G,5
SM-A605G,5
SM-A705F,5
SM-G530H,5
SM-G532M,5
SM-G7102,5
SM-G950U1,5
SM-G960U1,5
SM-G965U1,5
SM-G973W,5
SM-J106H,5
SM-J260G,5
SM-J320G,5
SM-J500G,5
SM-J530Y,5
SM-N9208,5
SM-N920V,5
SM-N975F,5
SM-T295,5
SM-T377V,5
SM-T380,5
X410.F,5
XT1710-02,5
Y51L,5
1808,4
1818,4
CPH1613,4
INE-LX2,4
JSN-L22,4
K33a42,4
LLD-AL10,4
LM-X420,4
MAR-LX1M,4
Moto C,4
Moto E6 Plus,4
Moto G (4),4
Pixel 4,4
RMX1811,4
RMX2020,4
Redmi Y3,4
SM-A207M,4
SM-A405FN,4
SM-A500F,4
SM-A505G,4
SM-A505U,4
SM-A705FN,4
SM-A720F,4
SM-A730F,4
SM-A750F,4
SM-G531H,4
SM-G532MT,4
SM-G570Y,4
SM-G615F,4
SM-G900A,4
SM-G920,4
SM-G930P,4
SM-G935P,4
SM-G981B,4
SM-J105H,4
SM-J120F,4
SM-J500M,4
SM-J510FN,4
SM-J700M,4
SM-J810M,4
SM-M305M,4
SM-N960U1,4
SM-N970U,4
SM-S727VL,4
SM-T116NU,4
SM-T350,4
SM-T713,4
SM-T813,4
SNE-LX3,4
STK-L21,4
TA-1021,4
TA-1053,4
X00HD,4
X00ID,4
X626B,4
Z00ED,4
1611,3
1803,3
2,3
2014813,3
5032W,3
6.1,3
A2010-a,3
A3003,3
A7000,3
AUM-AL20,3
CC7,3
CPH1717,3
CPH1723,3
CPH1989,3
DUB-LX3,3
F3,3
FIG-LA1,3
INE-LX1,3
JKM-LX1,3
LDN-L21,3
LG-M250,3
LM-G850,3
LM-V405,3
LUA-L01,3
LUA-U22,3
M5,3
MP260,3
MYA-L22,3
Mi 5,3
Moto G (5S),3
Moto G7 Plus,3
Moto Z4,3
MotoG3,3
Nexus 7,3
One,3
RMX1805,3
RNE-L22,3
Redmi 6 Pro,3
Redmi Note 2,3
Redmi Note 5A Prime,3
Redmi Y1,3
SM-A305G,3
SM-A305GT,3
SM-A307FN,3
SM-A310F,3
SM-A505GT,3
SM-A520F,3
SM-A920F,3
SM-C710F,3
SM-G600FY,3
SM-G892A,3
SM-G920I,3
SM-G930A,3
SM-G930T,3
SM-G930W8,3
SM-G935T,3
SM-G955U1,3
SM-G965W,3
SM-G975W,3
SM-J120G,3
SM-J200H,3
SM-J260T1,3
SM-J327T1,3
SM-J330G,3
SM-J530YM,3
SM-M205F,3
SM-M305F,3
SM-M315F,3
SM-N900T,3
SM-N920T,3
SM-N975U1,3
SM-T230NU,3
SM-T237P,3
SM-T285,3
SM-T290,3
SM-T337T,3
SM-T550,3
SM-T710,3
SM-T725,3
SM-T820,3
SO-02H,3
SO-02J,3
STK-LX3,3
TB-7104F,3
V3,3
X00AD,3
X01BDA,3
X606D,3
X626,3
X627,3
X650B,3
X653C,3
X9009,3
XT1585,3
XT1650,3
XT1706,3
XT1789-05,3
1201,2
1910,2
1919,2
2014818,2
3.1 Plus,2
305SH,2
5.1 Plus,2
5060,2
6010,2
6062W,2
7.2,2
A51w,2
A574BL,2
A74,2
AMN-LX9,2
ANE-LX2,2
B1F,2
BV5900,2
C1,2
CAG-L02,2
CPH1725,2
CPH1727,2
CPH1819,2
CPH1881,2
CPH1903,2
CPH1911,2
DRA-LX3,2
DRA-LX5,2
DUB-AL20,2
Desire 526G,2
E6553,2
E6653,2
F-02G,2
F1f,2
G55,2
G8,2
GM1917,2
GT-I8190,2
GT-I9082,2
GT-I9500,2
GT-N5100,2
GT-N8013,2
GT-P3100,2
H810,2
H872,2
HD1913,2
Iris 88,2
JKM-LX2,2
K53a48,2
K7,2
KB7,2
KC8,2
LDN-LX2,2
LG-M320,2
LM-G710,2
LM-Q730N,2
LM-X210,2
LM-X210APM,2
LM-X220PM,2
LYA-L29,2
MAR-LX1A,2
MAR-LX2,2
MAR-LX3A,2
MHA-L29,2
MI 6,2
MI PLAY,2
MRD-LX3,2
Mi MIX 2,2
Mi Max,2
Moto E(4),2
Moto E6 Play,2
Moto G Stylus,2
Moto Z3,2
NS-P10A7100,2
NXT-L29,2
Nexus 5,2
One Action,2
One Vision,2
POT-LX3,2
PRA-LX3,2
Q402+ Bharat 2 Plus,2
RIO-L01,2
RMX1921,2
RMX1925,2
RMX2030,2
RNE-L21,2
Redmi 8A Dual,2
Redmi Pro,2
SH-03J,2
SHV44,2
SHV46,2
SM-A300FU,2
SM-A320FL,2
SM-A505FN,2
SM-A505U1,2
SM-A510F,2
SM-A515U,2
SM-A600FN,2
SM-A705MN,2
SM-A710F,2
SM-A805F,2
SM-C900F,2
SM-G531F,2
SM-G532F,2
SM-G550FY,2
SM-G611MT,2
SM-G770F,2
SM-G891A,2
SM-G892U,2
SM-G903F,2
SM-G920F,2
SM-G920W8,2
SM-G925,2
SM-G925F,2
SM-G925I,2
SM-G930R4,2
SM-G935K,2
SM-G9600,2
SM-G9650,2
SM-G970U1,2
SM-G970W,2
SM-G973U1,2
SM-G977U,2
SM-J200G,2
SM-J320M,2
SM-J330FN,2
SM-J400M,2
SM-J410F,2
SM-J500F,2
SM-J600F,2
SM-J600GF,2
SM-J700T,2
SM-J701MT,2
SM-J710MN,2
SM-J720F,2
SM-J727T,2
SM-J737T,2
SM-M307F,2
SM-N920A,2
SM-N950N,2
SM-N960W,2
SM-N970U1,2
SM-N976U,2
SM-P355,2
SM-S727T1,2
SM-T113,2
SM-T113NU,2
SM-T280,2
SM-T377W,2
SM-T387V,2
SM-T517P,2
SM-T815,2
SM-T825,2
SM-T860,2
SO-05K,2
SOV36,2
T00F,2
T1 7.0,2
TA-1004,2
TRT-LX3,2
US997,2
V520,2
VK815,2
VS988,2
VS996,2
W6001,2
WAS-LX1A,2
X008DA,2
X00DDB,2
X00LD,2
X623,2
X624,2
X650,2
X652,2
XT1068,2
